,clusters,Latitude,Longitude,geometry
25324,2,8.134687,123.54262,POINT (123.54262 8.134687)
25327,0,7.721427,123.448225,POINT (123.448225 7.721427)
25328,2,8.046652,123.43305900000001,POINT (123.433059 8.046652)
25329,0,7.8797820000000005,123.64361299999999,POINT (123.643613 7.879782000000001)
25330,0,8.095601,123.268955,POINT (123.268955 8.095601)
25331,2,7.740823,123.46793600000001,POINT (123.467936 7.740823)
25332,0,8.110726,123.554722,POINT (123.554722 8.110726)
25333,0,8.177508999999999,123.288721,POINT (123.288721 8.177508999999999)
25334,0,7.769760000000001,123.392211,POINT (123.392211 7.769760000000001)
25335,2,7.808124141,122.71444790000001,POINT (122.7144479 7.808124141)
25336,0,8.307091,122.996605,POINT (122.996605 8.307091)
25337,0,7.209624000000001,122.18831999999999,POINT (122.18832 7.209624000000001)
25338,2,7.91562,123.37454199999999,POINT (123.374542 7.91562)
25339,1,7.3742589999999995,123.421778,POINT (123.421778 7.374258999999999)
25340,0,7.412041447999999,122.81222350000002,POINT (122.8122235 7.412041447999999)
25341,2,8.277136,123.54259499999999,POINT (123.542595 8.277136)
25342,0,7.959607000000001,122.416077,POINT (122.416077 7.959607000000001)
25343,2,7.5050669999999995,122.97898300000001,POINT (122.978983 7.505066999999999)
25344,0,8.196539,123.28165800000001,POINT (123.281658 8.196539)
25345,0,7.708738,123.285999,POINT (123.285999 7.708738)
25346,1,8.374902,123.49456799999999,POINT (123.494568 8.374902000000001)
25347,1,7.823504,123.420029,POINT (123.420029 7.823504)
25348,2,7.709863701000001,122.87619140000001,POINT (122.8761914 7.709863701000001)
25350,2,7.771742999999999,123.327316,POINT (123.327316 7.771742999999999)
25351,1,7.9103330000000005,122.680939,POINT (122.680939 7.910333000000001)
25353,2,7.824556175,122.64799199999999,POINT (122.647992 7.824556175)
25356,1,7.891609,123.153595,POINT (123.153595 7.891609)
25357,2,7.876645,123.100723,POINT (123.100723 7.876645)
25358,0,7.450858,123.316848,POINT (123.316848 7.450858)
25359,0,7.732425,122.09501599999999,POINT (122.095016 7.732425)
25360,2,7.797957264,122.8998916,POINT (122.8998916 7.797957264)
25361,1,8.052176,122.74575800000001,POINT (122.745758 8.052175999999999)
25362,2,8.005857,122.50751499999998,POINT (122.507515 8.005857000000001)
25363,0,8.136897,123.422273,POINT (123.422273 8.136896999999999)
25364,1,7.483925999999999,123.352754,POINT (123.352754 7.483925999999999)
25365,0,8.156438,123.47668999999999,POINT (123.47669 8.156438)
25366,2,7.797457062,122.97219150000001,POINT (122.9721915 7.797457062)
25368,1,7.712853722999999,122.4955588,POINT (122.4955588 7.712853722999999)
25369,2,8.44476,123.059128,POINT (123.059128 8.44476)
25370,2,7.807432,122.14325,POINT (122.14325 7.807432)
25373,2,7.554808014,122.8436129,POINT (122.8436129 7.554808014)
25374,1,7.935282000000001,123.59778200000001,POINT (123.597782 7.935282000000001)
25375,2,8.417028,123.250473,POINT (123.250473 8.417028)
25376,2,7.888547999999999,123.53085700000001,POINT (123.530857 7.888547999999999)
25378,2,7.721462719,122.9205914,POINT (122.9205914 7.721462719)
25379,0,7.956722,123.49329099999999,POINT (123.493291 7.956722)
25380,0,7.543975,123.141391,POINT (123.141391 7.543975)
25381,1,7.8368,123.41035500000001,POINT (123.410355 7.8368)
25382,2,6.914722222000001,122.0602778,POINT (122.0602778 6.914722222000001)
25383,2,7.820152,123.4268,POINT (123.4268 7.820152)
25384,0,7.763828,123.358695,POINT (123.358695 7.763828)
25385,2,8.213189,123.201027,POINT (123.201027 8.213189)
25386,2,8.253624,123.036469,POINT (123.036469 8.253624)
25387,2,8.016396,123.14781200000002,POINT (123.147812 8.016396)
25389,2,7.755653999999999,123.34027900000001,POINT (123.340279 7.755653999999999)
25390,1,7.453241,123.311269,POINT (123.311269 7.453241)
25391,1,8.417357,123.21373,POINT (123.21373 8.417357000000001)
25392,2,7.828372,123.39108300000001,POINT (123.391083 7.828372)
25393,1,8.413197,123.12706000000001,POINT (123.12706 8.413197)
25396,2,7.695364915,122.8246914,POINT (122.8246914 7.695364915)
25397,2,7.825656471,122.53459209999998,POINT (122.5345921 7.825656471)
25398,2,8.044952,123.51008999999999,POINT (123.51009 8.044952)
25399,0,7.648888889,122.93305559999999,POINT (122.9330556 7.648888889)
25401,1,7.844336,123.063354,POINT (123.063354 7.844336)
25402,2,7.586633999999999,122.87253,POINT (122.87253 7.586633999999999)
25403,2,7.917273,122.65428200000001,POINT (122.654282 7.917273)
25404,0,7.570917999999999,123.28272700000001,POINT (123.282727 7.570917999999999)
25405,2,6.976666667000001,121.9883333,POINT (121.9883333 6.976666667000001)
25406,0,6.965624000000001,122.103027,POINT (122.103027 6.965624000000001)
25407,1,7.785053,122.68454299999999,POINT (122.684543 7.785053)
25408,2,7.0121720000000005,122.106591,POINT (122.106591 7.012172000000001)
25409,0,7.7550730439999995,122.38444809999999,POINT (122.3844481 7.755073044)
25411,0,7.631470836,122.4191696,POINT (122.4191696 7.631470836)
25412,0,7.591750027000001,122.9419469,POINT (122.9419469 7.591750027000001)
25413,0,8.020646000000001,123.4645,POINT (123.4645 8.020646000000001)
25414,0,8.016396,123.46226899999999,POINT (123.462269 8.016396)
25415,2,7.84466,123.416824,POINT (123.416824 7.84466)
25416,2,8.715431,123.42658999999999,POINT (123.42659 8.715431000000001)
25417,2,8.343678,123.274345,POINT (123.274345 8.343678000000001)
25418,2,8.511109,123.2267,POINT (123.2267 8.511108999999999)
25420,2,8.042658,122.42073799999999,POINT (122.420738 8.042657999999999)
25421,0,7.0011660000000004,122.02829799999999,POINT (122.028298 7.001166)
25422,1,8.116849,122.633522,POINT (122.633522 8.116849)
25423,1,7.836255707,122.5345922,POINT (122.5345922 7.836255707)
25424,1,7.42718401,122.92119040000001,POINT (122.9211904 7.42718401)
25425,2,7.779792142000001,122.72694779999999,POINT (122.7269478 7.779792142000001)
25426,2,7.7676604639999995,122.5904919,POINT (122.5904919 7.767660464)
25427,0,7.972442,122.761459,POINT (122.761459 7.972442)
25428,0,7.806497,123.337623,POINT (123.337623 7.806497)
25430,2,8.481562,123.054749,POINT (123.054749 8.481562)
25431,0,8.5295817,123.45185759999998,POINT (123.4518576 8.5295817)
25432,0,7.759746000000001,123.43225100000001,POINT (123.432251 7.759746000000001)
25434,1,8.199257000000001,123.08841699999999,POINT (123.088417 8.199257000000001)
25435,2,8.474776,123.310722,POINT (123.310722 8.474776)
25436,0,8.010276,123.42931000000002,POINT (123.42931 8.010275999999999)
25437,2,8.092542,123.108673,POINT (123.108673 8.092542)
25439,1,7.632579886,123.00028,POINT (123.00028 7.632579886)
25440,2,7.743360551,123.1000912,POINT (123.1000912 7.743360551)
25441,1,8.14471445,123.049622,POINT (123.049622 8.14471445)
25442,0,7.36732162,122.8343903,POINT (122.8343903 7.36732162)
25443,1,7.992953,122.293419,POINT (122.293419 7.992953)
25444,1,7.751738819,122.83278059999999,POINT (122.8327806 7.751738819)
25445,1,7.537177882000001,122.34279140000001,POINT (122.3427914 7.537177882000001)
25446,2,7.680632242000001,123.0525021,POINT (123.0525021 7.680632242000001)
25447,2,7.944335000000001,123.61079299999999,POINT (123.610793 7.944335000000001)
25448,2,7.385801,123.39830900000001,POINT (123.398309 7.385801)
25449,2,7.897634,122.55340600000001,POINT (122.553406 7.897634)
25450,1,8.122341,122.68164099999998,POINT (122.681641 8.122341)
25451,2,8.214888,123.00258600000001,POINT (123.002586 8.214888)
25452,2,8.65,123.417,POINT (123.417 8.65)
25453,2,7.847758,123.043571,POINT (123.043571 7.847758)
25454,2,7.8477369999999995,123.04417099999999,POINT (123.044171 7.847737)
25455,0,6.68795,122.018318,POINT (122.018318 6.68795)
25456,2,7.829528,123.31340800000001,POINT (123.313408 7.829528)
25457,2,7.503422351,122.96409059999999,POINT (122.9640906 7.503422351)
25458,2,7.9335362929999995,123.5563311,POINT (123.5563311 7.933536293)
25459,1,7.83603,123.438751,POINT (123.438751 7.83603)
25461,1,7.616283,123.337116,POINT (123.337116 7.616283)
25462,0,7.461879,122.276195,POINT (122.276195 7.461879)
25463,0,8.299828999999999,123.479118,POINT (123.479118 8.299828999999999)
25464,2,7.655914999999999,123.280101,POINT (123.280101 7.655914999999999)
25465,2,8.590722999999999,123.344002,POINT (123.344002 8.590722999999999)
25466,2,7.196297,121.99308799999999,POINT (121.993088 7.196297)
25467,2,7.742227000000001,123.46943799999998,POINT (123.469438 7.742227000000001)
25468,2,7.994297,123.30471000000001,POINT (123.30471 7.994297)
25470,0,7.643412532999999,122.86694720000001,POINT (122.8669472 7.643412532999999)
25471,1,8.4752,123.293373,POINT (123.293373 8.475199999999999)
25472,2,7.921036999999999,123.39837,POINT (123.39837 7.921036999999999)
25473,2,7.3547199999999995,122.27855500000001,POINT (122.278555 7.354719999999999)
25474,2,8.071387,122.799347,POINT (122.799347 8.071387)
25475,2,8.266342999999999,122.966599,POINT (122.966599 8.266342999999999)
25476,2,8.540621,123.57876599999999,POINT (123.578766 8.540621)
25477,2,7.579461,123.25971100000001,POINT (123.259711 7.579461)
25478,0,7.617852,123.340593,POINT (123.340593 7.617852)
25480,2,6.7009419999999995,121.98362,POINT (121.98362 6.700942)
25481,1,7.860661,123.1893,POINT (123.1893 7.860661)
25482,2,7.564832000000001,122.144356,POINT (122.144356 7.564832000000001)
25483,1,8.270431,122.994476,POINT (122.994476 8.270431)
25485,2,7.517703999999999,123.17321799999999,POINT (123.173218 7.517703999999999)
25487,0,8.084809,123.492752,POINT (123.492752 8.084809)
25488,2,7.73706106,123.0836912,POINT (123.0836912 7.73706106)
25490,2,6.6987440000000005,121.975136,POINT (121.975136 6.698744)
25491,1,6.9481839999999995,122.11924099999999,POINT (122.119241 6.948183999999999)
25492,2,8.337197,123.51104699999999,POINT (123.511047 8.337197)
25493,0,8.004157000000001,123.458122,POINT (123.458122 8.004157000000001)
25494,2,8.137576,122.87530500000001,POINT (122.875305 8.137575999999999)
25495,2,7.961997,123.077087,POINT (123.077087 7.961997)
25496,2,8.600626,123.48465700000001,POINT (123.484657 8.600626)
25497,2,7.772736999999999,123.15921399999999,POINT (123.159214 7.772736999999999)
25498,0,8.190506942,123.5313463,POINT (123.5313463 8.190506942000001)
25499,2,8.09866,123.50295200000001,POINT (123.502952 8.098660000000001)
25500,2,7.860464,123.430695,POINT (123.430695 7.860464)
25501,2,7.903814,123.464211,POINT (123.464211 7.903814)
25502,0,7.961550999999999,122.585838,POINT (122.585838 7.961550999999999)
25504,1,7.788214,123.209926,POINT (123.209926 7.788214)
25505,1,7.0992619999999995,122.237204,POINT (122.237204 7.099262)
25506,0,7.6108333329999995,122.923055,POINT (122.923055 7.610833333)
25507,1,7.805625,123.42600300000001,POINT (123.426003 7.805625)
25508,2,8.100147,123.454954,POINT (123.454954 8.100147)
25509,2,7.989878,123.01185600000001,POINT (123.011856 7.989878)
25510,1,7.749435000000001,123.16958600000001,POINT (123.169586 7.749435000000001)
25511,1,7.7439919999999995,123.099892,POINT (123.099892 7.743992)
25512,2,7.716775,123.139545,POINT (123.139545 7.716775)
25513,0,7.348711777,122.8963902,POINT (122.8963902 7.348711777)
25514,1,7.783339,122.799799,POINT (122.799799 7.783339)
25515,1,7.629427000000001,123.44646499999999,POINT (123.446465 7.629427000000001)
25516,2,7.497278,123.365298,POINT (123.365298 7.497278)
25517,1,7.700487,122.128143,POINT (122.128143 7.700487)
25518,1,8.375921,123.52821399999999,POINT (123.528214 8.375921)
